Project_ID,NPV,Cost,Duration_Weeks,Risk_Level,Shock_Sensitivity,Type,Portfolio_Type,Baseline_Performance,Performance_Loss,Recovery_Time,Final_Performance,Absorptive_Capacity,Restorative_Capacity,Transformative_Capacity,AC_norm,RC_norm,TC_norm,Resilience_Score,NPV_norm
P1,1326,584,45,0.18,0.93,Operational,Conservative,100,4.63655798093484,8.8,103.48260108065314,95.36344201906516,0.1136363636363636,103.48260108065314,0.8389798796887273,0.4775616332819722,0.9237872122519386,0.7467762417408794,0.8680282796543598
P4,1330,120,25,0.63,0.2,Strategic,Aggressive,100,4.618922676357427,14.3,101.8180608075959,95.38107732364256,0.0699300699300699,101.8180608075959,0.8398016453115176,0.1080952945359724,0.8464553528636696,0.5981174309037198,0.8711704634721131
P6,1244,266,26,0.32,0.44,R&D,Balanced,100,4.76924748860564,8.2,97.07865355954624,95.23075251139436,0.1219512195121951,97.07865355954624,0.8327968463631494,0.5478503513848699,0.6262701276562561,0.6689724418014251,0.8036135113904164
P11,287,113,32,0.68,0.42,R&D,Aggressive,100,9.869642684092472,11.8,90.6180739574956,90.13035731590752,0.0847457627118644,90.6180739574956,0.5951298746418372,0.2333381212295316,0.3261220078184141,0.3848633345632609,0.051846032992930086
P12,1323,341,27,0.29,0.4,Operational,Conservative,100,3.641323109984116,5.9,104.28612899127442,96.35867689001589,0.1694915254237288,104.28612899127442,0.885355591543294,0.9497270899166904,0.961117824436278,0.932066835298754,0.8656716417910447
P17,1005,439,40,0.45,0.25,Strategic,Balanced,100,4.777612979798844,14.5,100.56228897725414,95.22238702020115,0.0689655172413793,100.56228897725414,0.8324070332442348,0.0999415546464056,0.7881142167676503,0.5734876015527635,0.6158680282796544
P19,1415,466,12,0.82,0.4,R&D,Aggressive,100,15.716016839536842,15.2,89.10544512116432,84.28398316046315,0.0657894736842105,89.10544512116432,0.3227019572318834,0.073093220338983,0.2558477090398297,0.2172142955368986,0.9379418695993715
P22,1384,608,20,0.66,0.32,R&D,Aggressive,100,6.532526067162316,13.6,100.69480433852178,93.46747393283768,0.0735294117647058,100.69480433852178,0.7506320210889337,0.1385219341974077,0.7942706669600588,0.5611415407488001,0.9135899450117831
P26,947,180,35,0.26,0.53,R&D,Conservative,100,6.495956295319303,11.6,96.12843077352257,93.5040437046807,0.0862068965517241,96.12843077352257,0.7523360904006919,0.2456896551724138,0.5821243078970575,0.5267166844900544,0.5703063629222309
P27,1056,661,22,0.85,0.23,R&D,Aggressive,100,4.9751173080773885,17.5,101.08161366315323,95.0248826919226,0.0571428571428571,101.08161366315323,0.8232037747113772,0.0,0.8122412050038941,0.545148326571757,0.6559308719560094
P29,1282,487,19,0.66,0.71,Operational,Aggressive,100,19.58952829086609,9.6,85.69184810668891,80.4104717091339,0.1041666666666666,85.69184810668891,0.1422050150773102,0.397510593220339,0.0972574913055486,0.2123243665343992,0.8334642576590731
P30,710,101,46,0.8,0.74,R&D,Aggressive,100,16.17274362678271,17.0,88.98187270361576,83.8272563732173,0.0588235294117647,88.98187270361576,0.3014195137606839,0.0142073778664008,0.2501067336048628,0.1885778750773158,0.38413197172034563
P38,1467,501,19,0.36,0.84,Strategic,Balanced,100,6.951254647588185,16.6,95.20859343277284,93.0487453524118,0.0602409638554216,95.20859343277284,0.7311202087942634,0.0261895037778231,0.5393901469720781,0.4322332865147215,0.9787902592301649
P40,1354,655,45,0.39,0.99,R&D,Balanced,100,16.21489359378696,10.9,88.80927487706587,83.78510640621303,0.091743119266055,88.80927487706587,0.2994554198753865,0.2924895039651687,0.2420881166512689,0.2780110134972746,0.8900235663786331
