Project_ID,NPV,Cost,Duration_Weeks,Risk_Level,Shock_Sensitivity,Type,Portfolio_Type,Baseline_Performance,Performance_Loss,Recovery_Time,Final_Performance,Absorptive_Capacity,Restorative_Capacity,Transformative_Capacity,AC_norm,RC_norm,TC_norm,Resilience_Score,NPV_norm
P1,1326,584,45,0.18,0.93,Operational,Conservative,100,4.63655798093484,8.8,103.48260108065314,95.36344201906516,0.1136363636363636,103.48260108065314,0.8389798796887273,0.4775616332819722,0.9237872122519386,0.7467762417408794,0.8680282796543598
P4,1330,120,25,0.63,0.2,Strategic,Aggressive,100,4.618922676357427,14.3,101.8180608075959,95.38107732364256,0.0699300699300699,101.8180608075959,0.8398016453115176,0.1080952945359724,0.8464553528636696,0.5981174309037198,0.8711704634721131
P6,1244,266,26,0.32,0.44,R&D,Balanced,100,4.76924748860564,8.2,97.07865355954624,95.23075251139436,0.1219512195121951,97.07865355954624,0.8327968463631494,0.5478503513848699,0.6262701276562561,0.6689724418014251,0.8036135113904164
P7,321,373,19,0.55,0.33,Operational,Balanced,100,6.760990244668537,12.5,95.1810115790932,93.23900975533148,0.08,95.1810115790932,0.7399861030505139,0.1932203389830509,0.5381087384865362,0.4904383935067002,0.07855459544383346
P12,1323,341,27,0.29,0.4,Operational,Conservative,100,3.641323109984116,5.9,104.28612899127442,96.35867689001589,0.1694915254237288,104.28612899127442,0.885355591543294,0.9497270899166904,0.961117824436278,0.932066835298754,0.8656716417910447
P14,330,445,35,0.13,0.38,R&D,Conservative,100,1.181024205819722,7.3,99.45430410923387,98.81897579418028,0.136986301369863,99.45430410923387,1.0,0.6749477594613419,0.7366390248453181,0.8038622614355533,0.08562450903377848
P18,585,191,26,0.26,0.4,Strategic,Conservative,100,4.799215282847014,15.6,100.47658616518434,95.20078471715298,0.0641025641025641,100.47658616518434,0.8314004143939533,0.0588331160365059,0.7841326021924813,0.5581220442076468,0.2859387274155538
P19,1415,466,12,0.82,0.4,R&D,Aggressive,100,15.716016839536842,15.2,89.10544512116432,84.28398316046315,0.0657894736842105,89.10544512116432,0.3227019572318834,0.073093220338983,0.2558477090398297,0.2172142955368986,0.9379418695993715
P24,221,134,12,0.58,0.41,Strategic,Balanced,100,9.489874385954296,13.8,92.14582710516144,90.5101256140457,0.072463768115942,92.14582710516144,0.6128262252019123,0.1295136330140015,0.3970989577352135,0.3798129386503757,0.0
P26,947,180,35,0.26,0.53,R&D,Conservative,100,6.495956295319303,11.6,96.12843077352257,93.5040437046807,0.0862068965517241,96.12843077352257,0.7523360904006919,0.2456896551724138,0.5821243078970575,0.5267166844900544,0.5703063629222309
P32,1175,665,44,0.34,0.56,Operational,Balanced,100,4.92532610606172,6.4,103.49342979424604,95.07467389393828,0.15625,103.49342979424604,0.8255239330026205,0.8377913135593219,0.9242902968396036,0.8625351811338486,0.7494108405341713
P33,389,205,16,0.18,0.64,Strategic,Conservative,100,5.272034819785766,14.8,103.76646509582618,94.72796518021424,0.0675675675675675,103.76646509582618,0.8093680848963603,0.0881241410902426,0.9369750770708728,0.6114891010191585,0.13197172034564023
P35,886,921,39,0.27,0.26,Operational,Conservative,100,2.152665439275617,5.7,105.12305374184773,97.84733456072438,0.175438596491228,105.12305374184773,0.9547236987127264,1.0,1.0,0.9849078995709086,0.5223880597014925
P38,1467,501,19,0.36,0.84,Strategic,Balanced,100,6.951254647588185,16.6,95.20859343277284,93.0487453524118,0.0602409638554216,95.20859343277284,0.7311202087942634,0.0261895037778231,0.5393901469720781,0.4322332865147215,0.9787902592301649
