Project_ID,NPV,Cost,Duration_Weeks,Risk_Level,Shock_Sensitivity,Type
P1,1326,584,45,0.18,0.93,Operational
P2,1060,918,21,0.4,0.42,R&D
P3,1494,746,47,0.64,0.72,R&D
P4,1330,120,25,0.63,0.2,Strategic
P5,1295,940,42,0.57,0.48,Strategic
P6,1244,266,26,0.32,0.44,R&D
P7,321,373,19,0.55,0.33,Operational
P8,666,487,25,0.41,0.63,Strategic
P9,1438,700,34,0.88,0.59,R&D
P10,530,415,51,0.78,0.75,R&D
P11,287,113,32,0.68,0.42,R&D
P12,1323,341,27,0.29,0.4,Operational
P13,1071,876,29,0.3,0.33,R&D
P14,330,445,35,0.13,0.38,R&D
P15,969,664,37,0.67,0.65,R&D
P16,543,997,36,0.19,0.52,R&D
P17,1005,439,40,0.45,0.25,Strategic
P18,585,191,26,0.26,0.4,Strategic
P19,1415,466,12,0.82,0.4,R&D
P20,1155,554,36,0.48,0.76,Operational
P21,476,527,18,0.55,0.77,Strategic
P22,1384,608,20,0.66,0.32,R&D
P23,659,875,35,0.21,1.0,Strategic
P24,221,134,12,0.58,0.41,Strategic
P25,452,305,19,0.53,0.98,Operational
P26,947,180,35,0.26,0.53,R&D
P27,1056,661,22,0.85,0.23,R&D
P28,674,971,28,0.58,0.48,Operational
P29,1282,487,19,0.66,0.71,Operational
P30,710,101,46,0.8,0.74,R&D
P31,899,489,46,0.6,0.62,R&D
P32,1175,665,44,0.34,0.56,Operational
P33,389,205,16,0.18,0.64,Strategic
P34,1157,871,50,0.47,0.67,Strategic
P35,886,921,39,0.27,0.26,Operational
P36,1157,576,18,0.43,0.5,Strategic
P37,762,802,20,0.81,0.39,Operational
P38,1467,501,19,0.36,0.84,Strategic
P39,1031,829,23,0.2,0.58,Strategic
P40,1354,655,45,0.39,0.99,R&D
